experiment_name,status,results_dir,factor,object_name,dataset_root,gt_pose_field,num_samples_processed,num_sample_dirs_discovered
analysis_003_viewpoint,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_viewpoint/2026-04-02_19-37-02,viewpoint,003_cracker_box,/mnt/c/isaac-sim/any6d/_out_analysis_003,T_C_O,20,20
analysis_003_distance,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_distance/2026-04-02_19-38-26,distance,003_cracker_box,/mnt/c/isaac-sim/any6d/_out_analysis_003,T_C_O,10,10
analysis_003_lighting,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_lighting/2026-04-02_19-39-11,lighting,003_cracker_box,/mnt/c/isaac-sim/any6d/_out_analysis_003,T_C_O,20,20
analysis_003_clutter,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_clutter/2026-04-02_19-40-30,clutter,003_cracker_box,/mnt/c/isaac-sim/any6d/_out_analysis_003,T_C_O,20,20
analysis_003_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_occlusion/2026-04-02_19-41-50,occlusion,003_cracker_box,/mnt/c/isaac-sim/any6d/_out_analysis_003,T_C_O,13,13
analysis_003_v_l_c_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_v_l_c_occlusion/2026-04-02_19-42-48,viewpoint_lighting_clutter_occlusion,003_cracker_box,/mnt/c/isaac-sim/any6d/_out_analysis_003,T_C_O,27,27
analysis_005_viewpoint,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_viewpoint/2026-04-02_19-44-32,viewpoint,005_tomato_soup_can,/mnt/c/isaac-sim/any6d/_out_analysis_005,T_C_O,20,20
analysis_005_distance,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_distance/2026-04-02_19-45-51,distance,005_tomato_soup_can,/mnt/c/isaac-sim/any6d/_out_analysis_005,T_C_O,10,10
analysis_005_lighting,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_lighting/2026-04-02_19-46-37,lighting,005_tomato_soup_can,/mnt/c/isaac-sim/any6d/_out_analysis_005,T_C_O,20,20
analysis_005_clutter,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_clutter/2026-04-02_19-47-56,clutter,005_tomato_soup_can,/mnt/c/isaac-sim/any6d/_out_analysis_005,T_C_O,20,20
analysis_005_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_occlusion/2026-04-02_19-49-18,occlusion,005_tomato_soup_can,/mnt/c/isaac-sim/any6d/_out_analysis_005,T_C_O,9,10
analysis_005_v_l_c_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_v_l_c_occlusion/2026-04-02_19-50-02,viewpoint_lighting_clutter_occlusion,005_tomato_soup_can,/mnt/c/isaac-sim/any6d/_out_analysis_005,T_C_O,26,26
analysis_006_viewpoint,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_viewpoint/2026-04-02_19-51-43,viewpoint,006_mustard_bottle,/mnt/c/isaac-sim/any6d/_out_analysis_006,T_C_O,20,20
analysis_006_distance,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_distance/2026-04-02_19-53-31,distance,006_mustard_bottle,/mnt/c/isaac-sim/any6d/_out_analysis_006,T_C_O,10,10
analysis_006_lighting,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_lighting/2026-04-02_19-54-26,lighting,006_mustard_bottle,/mnt/c/isaac-sim/any6d/_out_analysis_006,T_C_O,20,20
analysis_006_clutter,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_clutter/2026-04-02_19-56-11,clutter,006_mustard_bottle,/mnt/c/isaac-sim/any6d/_out_analysis_006,T_C_O,20,20
analysis_006_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_occlusion/2026-04-02_19-57-54,occlusion,006_mustard_bottle,/mnt/c/isaac-sim/any6d/_out_analysis_006,T_C_O,11,12
analysis_006_v_l_c_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_v_l_c_occlusion/2026-04-02_19-58-55,viewpoint_lighting_clutter_occlusion,006_mustard_bottle,/mnt/c/isaac-sim/any6d/_out_analysis_006,T_C_O,26,26
analysis_010_viewpoint,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_viewpoint/2026-04-02_20-01-04,viewpoint,010_potted_meat_can,/mnt/c/isaac-sim/any6d/_out_analysis_010,T_C_O,20,20
analysis_010_distance,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_distance/2026-04-02_20-02-27,distance,010_potted_meat_can,/mnt/c/isaac-sim/any6d/_out_analysis_010,T_C_O,10,10
analysis_010_lighting,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_lighting/2026-04-02_20-03-10,lighting,010_potted_meat_can,/mnt/c/isaac-sim/any6d/_out_analysis_010,T_C_O,20,20
analysis_010_clutter,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_clutter/2026-04-02_20-04-34,clutter,010_potted_meat_can,/mnt/c/isaac-sim/any6d/_out_analysis_010,T_C_O,20,20
analysis_010_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_occlusion/2026-04-02_20-05-53,occlusion,010_potted_meat_can,/mnt/c/isaac-sim/any6d/_out_analysis_010,T_C_O,8,8
analysis_010_v_l_c_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_010_v_l_c_occlusion/2026-04-02_20-06-31,viewpoint_lighting_clutter_occlusion,010_potted_meat_can,/mnt/c/isaac-sim/any6d/_out_analysis_010,T_C_O,24,24
analysis_021_viewpoint,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_viewpoint/2026-04-02_20-08-05,viewpoint,021_bleach_cleanser,/mnt/c/isaac-sim/any6d/_out_analysis_021,T_C_O,20,20
analysis_021_distance,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_distance/2026-04-02_20-09-24,distance,021_bleach_cleanser,/mnt/c/isaac-sim/any6d/_out_analysis_021,T_C_O,10,10
analysis_021_lighting,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_lighting/2026-04-02_20-10-08,lighting,021_bleach_cleanser,/mnt/c/isaac-sim/any6d/_out_analysis_021,T_C_O,20,20
analysis_021_clutter,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_clutter/2026-04-02_20-11-30,clutter,021_bleach_cleanser,/mnt/c/isaac-sim/any6d/_out_analysis_021,T_C_O,20,20
analysis_021_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_occlusion/2026-04-02_20-12-50,occlusion,021_bleach_cleanser,/mnt/c/isaac-sim/any6d/_out_analysis_021,T_C_O,8,8
analysis_021_v_l_c_occlusion,ok,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_021_v_l_c_occlusion/2026-04-02_20-13-27,viewpoint_lighting_clutter_occlusion,021_bleach_cleanser,/mnt/c/isaac-sim/any6d/_out_analysis_021,T_C_O,26,26
